,Count,Mean,Std,Min,Q1,Median,Q3,Max
Month,5678.0,5.9421,3.7336,1.0,3.0,5.0,10.0,12.0
twi,5678.0,9.5442,3.6228,0.1646,8.0405,9.0009,9.8677,44.3209
elevation_mean,5678.0,244.8623,334.6264,0.624,22.0005,91.3102,306.6194,1820.8066
slope_mean,5678.0,4.737,4.5047,0.0295,1.1123,2.6854,7.6311,23.9075
soil_type,5678.0,4.4121,1.5653,1.0,4.0,4.0,6.0,6.0
drainage_pct,5678.0,3.011,0.9562,0.4313,2.3456,2.8898,3.5186,7.2674
precip_t0,5678.0,15.9799,19.7768,0.0,0.4212,8.5807,24.735,173.61
precip_t1,5678.0,13.5966,18.7878,0.0,0.2662,6.2675,19.635,180.96
precip_t2,5678.0,10.8205,14.6999,0.0,0.21,4.8425,16.13,121.12
precip_3d,5678.0,40.397,37.9137,0.0,7.3287,32.2875,61.9788,231.995
precip_7d,5678.0,78.7641,61.5915,0.0,28.185,71.965,117.4337,345.635
ndvi,5678.0,0.5614,0.1464,0.096,0.4585,0.5768,0.6785,0.8711
mndwi,5678.0,-0.0725,0.2411,-0.5674,-0.2679,-0.0852,0.1099,0.6574
ndbi,5678.0,-0.134,0.0962,-0.3788,-0.2076,-0.1392,-0.071,0.1466
nb_precip_t0,5678.0,15.3803,17.9342,0.0,0.976,9.291,23.9468,156.954
nb_precip_t1,5678.0,13.3095,17.1975,0.0,0.7871,6.9925,19.3853,158.8323
nb_precip_t2,5678.0,10.6954,13.4323,0.0,0.6641,5.6227,16.0412,110.7995
nb_twi,5678.0,9.316,1.2915,6.695,8.4307,9.2214,9.8424,14.9589
nb_elevation,5678.0,256.2252,274.6328,2.9291,62.5658,131.6219,377.0718,1309.1621
nb_slope,5678.0,4.8564,3.2206,0.7443,2.3156,3.9665,6.762,16.5601
nb_drainage,5678.0,2.9337,0.396,1.6525,2.657,2.9577,3.2248,3.8945
nb_soil,5678.0,4.3592,1.1337,1.0,4.0,4.5,5.0526,6.0
nb_ndvi,5678.0,0.5665,0.1189,0.1416,0.4842,0.5773,0.6573,0.8465
nb_mndwi,5678.0,-0.0734,0.2247,-0.5659,-0.2514,-0.086,0.0922,0.5652
nb_ndbi,5678.0,-0.1345,0.0763,-0.3319,-0.1933,-0.1393,-0.0772,0.0611
1daylag,5678.0,619.0675,1215.2071,0.0,15.3649,137.2572,618.6293,14289.9504
3daylag,5678.0,462.7827,954.3145,0.0,9.1164,88.5193,437.273,11503.6873
7daylag,5678.0,444.3884,960.9752,0.0,7.9223,79.4495,383.1024,9134.0824
ibi,5678.0,0.2901,0.4578,-0.957,-0.0327,0.3617,0.6765,0.9915
nb_ibi,5678.0,0.3122,0.3518,-0.9172,0.0751,0.3415,0.5876,0.9737
