WADMKK,WADMKC,probability,JOIN_ID
Adm. Kep. Seribu,Kepulauan Seribu Selatan,0.7127114811658932,Adm. Kep. Seribu_Kepulauan Seribu Selatan
Adm. Kep. Seribu,Kepulauan Seribu Utara,0.6306856847400961,Adm. Kep. Seribu_Kepulauan Seribu Utara
Bandung,Arjasari,0.5571227283942587,Bandung_Arjasari
Bandung,Baleendah,0.6990882330984167,Bandung_Baleendah
Bandung,Banjaran,0.69415007425495,Bandung_Banjaran
Bandung,Bojongsoang,0.8105906177156178,Bandung_Bojongsoang
Bandung,Cangkuang,0.6841584110334107,Bandung_Cangkuang
Bandung,Cicalengka,0.8122285442500395,Bandung_Cicalengka
Bandung,Cikancung,0.7852869353615335,Bandung_Cikancung
Bandung,Cilengkrang,0.7543235858912328,Bandung_Cilengkrang
Bandung,Cileunyi,0.7448903260138559,Bandung_Cileunyi
Bandung,Cimaung,0.6706661916724641,Bandung_Cimaung
Bandung,Cimenyan,0.7417197711301429,Bandung_Cimenyan
Bandung,Ciparay,0.6400920835336887,Bandung_Ciparay
Bandung,Ciwidey,0.7581008537214416,Bandung_Ciwidey
Bandung,Dayeuhkolot,0.7694286245267338,Bandung_Dayeuhkolot
Bandung,Ibun,0.5707925242585613,Bandung_Ibun
Bandung,Katapang,0.7402012731629275,Bandung_Katapang
Bandung,Kertasari,0.7935826299103944,Bandung_Kertasari
Bandung,Kutawaringin,0.7208395233421551,Bandung_Kutawaringin
Bandung,Majalaya,0.715428124000183,Bandung_Majalaya
Bandung,Margaasih,0.6975011820051292,Bandung_Margaasih
Bandung,Margahayu,0.6397338934457351,Bandung_Margahayu
Bandung,Nagreg,0.7892340698517161,Bandung_Nagreg
Bandung,Pacet,0.7587349162275633,Bandung_Pacet
Bandung,Pameungpeuk,0.7466940881358061,Bandung_Pameungpeuk
Bandung,Pangalengan,0.8285118024132733,Bandung_Pangalengan
Bandung,Paseh,0.8075501908953405,Bandung_Paseh
Bandung,Pasirjambu,0.6793002452178188,Bandung_Pasirjambu
Bandung,Rancabali,0.7624760576025279,Bandung_Rancabali
Bandung,Rancaekek,0.8687203073537109,Bandung_Rancaekek
Bandung,Solokanjeruk,0.8521176209583328,Bandung_Solokanjeruk
Bandung,Soreang,0.7153900854477476,Bandung_Soreang
Bandung Barat,Batujajar,0.7054214029622696,Bandung Barat_Batujajar
Bandung Barat,Cihampelas,0.7299867843129451,Bandung Barat_Cihampelas
Bandung Barat,Cikalongwetan,0.7620930056871231,Bandung Barat_Cikalongwetan
Bandung Barat,Cililin,0.8432743115072061,Bandung Barat_Cililin
Bandung Barat,Cipatat,0.7155958533296765,Bandung Barat_Cipatat
Bandung Barat,Cipeundeuy,0.7513111841192188,Bandung Barat_Cipeundeuy
Bandung Barat,Cipongkor,0.6852405430778526,Bandung Barat_Cipongkor
Bandung Barat,Cisarua,0.7826746457962401,Bandung Barat_Cisarua
Bandung Barat,Gununghalu,0.7257940215395359,Bandung Barat_Gununghalu
Bandung Barat,Lembang,0.7788970119921355,Bandung Barat_Lembang
Bandung Barat,Ngamprah,0.7573254779534193,Bandung Barat_Ngamprah
Bandung Barat,Padalarang,0.8442935388399013,Bandung Barat_Padalarang
Bandung Barat,Parongpong,0.7305370588534519,Bandung Barat_Parongpong
Bandung Barat,Rongga,0.6891713077380293,Bandung Barat_Rongga
Bandung Barat,Saguling,0.7505004425443835,Bandung Barat_Saguling
Bandung Barat,Sindangkerta,0.7730032002311409,Bandung Barat_Sindangkerta
Bangkalan,Arosbaya,0.5714195299454587,Bangkalan_Arosbaya
Bangkalan,Bangkalan,0.5063618101197048,Bangkalan_Bangkalan
Bangkalan,Blega,0.49856727613631646,Bangkalan_Blega
Bangkalan,Burneh,0.6969673790691596,Bangkalan_Burneh
Bangkalan,Galis,0.42123479387829216,Bangkalan_Galis
Bangkalan,Geger,0.41098605226043305,Bangkalan_Geger
Bangkalan,Kamal,0.4775173621107684,Bangkalan_Kamal
Bangkalan,Klampis,0.4847366594705603,Bangkalan_Klampis
Bangkalan,Kokop,0.4312586457585278,Bangkalan_Kokop
Bangkalan,Konang,0.42097005527152587,Bangkalan_Konang
Bangkalan,Kwanyar,0.5521181886397052,Bangkalan_Kwanyar
Bangkalan,Labang,0.4951350124935265,Bangkalan_Labang
Bangkalan,Modung,0.4581308164058163,Bangkalan_Modung
Bangkalan,Sepulu,0.4327435515035361,Bangkalan_Sepulu
Bangkalan,Socah,0.5346978909978908,Bangkalan_Socah
Bangkalan,Tanah Merah,0.6365085459088557,Bangkalan_Tanah Merah
Bangkalan,Tanjung Bumi,0.4512336464887918,Bangkalan_Tanjung Bumi
Bangkalan,Tragah,0.5282969189994728,Bangkalan_Tragah
Banjarnegara,Banjarmangu,0.8463788364500993,Banjarnegara_Banjarmangu
Banjarnegara,Banjarnegara,0.7365368525141609,Banjarnegara_Banjarnegara
Banjarnegara,Batur,0.7758586488130605,Banjarnegara_Batur
Banjarnegara,Bawang,0.7391962649923173,Banjarnegara_Bawang
Banjarnegara,Kalibening,0.7950540751187808,Banjarnegara_Kalibening
Banjarnegara,Karangkobar,0.8073118931721872,Banjarnegara_Karangkobar
Banjarnegara,Madukara,0.7564394532347818,Banjarnegara_Madukara
Banjarnegara,Mandiraja,0.5824039420506214,Banjarnegara_Mandiraja
Banjarnegara,Pagedongan,0.7026158000372262,Banjarnegara_Pagedongan
Banjarnegara,Pagentan,0.8035222392760322,Banjarnegara_Pagentan
Banjarnegara,Pandanarum,0.7666772129916866,Banjarnegara_Pandanarum
Banjarnegara,Pejawaran,0.7933890769361355,Banjarnegara_Pejawaran
Banjarnegara,Punggelan,0.7650363226728548,Banjarnegara_Punggelan
Banjarnegara,Purwanegara,0.7737990022128076,Banjarnegara_Purwanegara
Banjarnegara,Purworeja Klampok,0.5892348399538876,Banjarnegara_Purworeja Klampok
Banjarnegara,Rakit,0.7493341643121201,Banjarnegara_Rakit
Banjarnegara,Sigaluh,0.6761034829425561,Banjarnegara_Sigaluh
Banjarnegara,Susukan,0.5827788559737477,Banjarnegara_Susukan
Banjarnegara,Wanadadi,0.8359627359204485,Banjarnegara_Wanadadi
Banjarnegara,Wanayasa,0.7856831222698865,Banjarnegara_Wanayasa
Bantul,Bambanglipuro,0.7143799157448755,Bantul_Bambanglipuro
Bantul,Banguntapan,0.6888536693726169,Bantul_Banguntapan
Bantul,Bantul,0.6161201995811754,Bantul_Bantul
Bantul,Dlingo,0.5975091121214602,Bantul_Dlingo
Bantul,Imogiri,0.7052677363294236,Bantul_Imogiri
Bantul,Jetis,0.7133878469829209,Bantul_Jetis
Bantul,Kasihan,0.6187063214764796,Bantul_Kasihan
Bantul,Kretek,0.7732604247791405,Bantul_Kretek
Bantul,Pajangan,0.5218426892766673,Bantul_Pajangan
Bantul,Pandak,0.7179987869375276,Bantul_Pandak
Bantul,Piyungan,0.6205545498732655,Bantul_Piyungan
Bantul,Pleret,0.6757847066342895,Bantul_Pleret
Bantul,Pundong,0.7003314501621491,Bantul_Pundong
Bantul,Sanden,0.7474162147417339,Bantul_Sanden
Bantul,Sedayu,0.5524065393127936,Bantul_Sedayu
Bantul,Sewon,0.5895913941064092,Bantul_Sewon
Bantul,Srandakan,0.7846791623994189,Bantul_Srandakan
Banyumas,Ajibarang,0.7881699965693022,Banyumas_Ajibarang
Banyumas,Banyumas,0.6545498928364119,Banyumas_Banyumas
Banyumas,Baturraden,0.7936509026721729,Banyumas_Baturraden
Banyumas,Cilongok,0.8650746929455132,Banyumas_Cilongok
