WADMKK,WADMKC,probability,JOIN_ID,selisih
Adm. Kep. Seribu,Kepulauan Seribu Selatan,0.590224182,Adm. Kep. Seribu_Kepulauan Seribu Selatan,0.092385
Adm. Kep. Seribu,Kepulauan Seribu Utara,0.772024983,Adm. Kep. Seribu_Kepulauan Seribu Utara,-0.019902
Bandung,Arjasari,0.675520824,Bandung_Arjasari,-0.003447
Bandung,Baleendah,0.711942294,Bandung_Baleendah,-0.036829
Bandung,Banjaran,0.673475691,Bandung_Banjaran,-0.019300
Bandung,Bojongsoang,0.717781668,Bandung_Bojongsoang,-0.014792
Bandung,Cangkuang,0.700143914,Bandung_Cangkuang,-0.035415
Bandung,Cicalengka,0.69446417,Bandung_Cicalengka,-0.069177
Bandung,Cikancung,0.65916233,Bandung_Cikancung,-0.050395
Bandung,Cilengkrang,0.691597624,Bandung_Cilengkrang,-0.068792
Bandung,Cileunyi,0.722335691,Bandung_Cileunyi,-0.059299
Bandung,Cimaung,0.664853673,Bandung_Cimaung,-0.031523
Bandung,Cimenyan,0.686438483,Bandung_Cimenyan,-0.024518
Bandung,Ciparay,0.702373729,Bandung_Ciparay,-0.063971
Bandung,Ciwidey,0.676002406,Bandung_Ciwidey,-0.058974
Bandung,Dayeuhkolot,0.71367619,Bandung_Dayeuhkolot,-0.027472
Bandung,Ibun,0.662475719,Bandung_Ibun,-0.055283
Bandung,Katapang,0.72086633,Bandung_Katapang,-0.000909
Bandung,Kertasari,0.617274566,Bandung_Kertasari,0.021606
Bandung,Kutawaringin,0.694351131,Bandung_Kutawaringin,-0.038890
Bandung,Majalaya,0.700009573,Bandung_Majalaya,-0.028671
Bandung,Margaasih,0.737545157,Bandung_Margaasih,-0.008309
Bandung,Margahayu,0.725364754,Bandung_Margahayu,-0.022557
Bandung,Nagreg,0.671202042,Bandung_Nagreg,-0.079488
Bandung,Pacet,0.664428758,Bandung_Pacet,-0.023675
Bandung,Pameungpeuk,0.707710597,Bandung_Pameungpeuk,0.012240
Bandung,Pangalengan,0.671836328,Bandung_Pangalengan,-0.033231
Bandung,Paseh,0.653575589,Bandung_Paseh,-0.053265
Bandung,Pasirjambu,0.658189112,Bandung_Pasirjambu,-0.056006
Bandung,Rancabali,0.635536804,Bandung_Rancabali,-0.044232
Bandung,Rancaekek,0.713917011,Bandung_Rancaekek,-0.062609
Bandung,Solokanjeruk,0.692411677,Bandung_Solokanjeruk,-0.032882
Bandung,Soreang,0.686795959,Bandung_Soreang,-0.012068
Bandung Barat,Batujajar,0.698483604,Bandung Barat_Batujajar,-0.015539
Bandung Barat,Cihampelas,0.689104882,Bandung Barat_Cihampelas,-0.021890
Bandung Barat,Cikalongwetan,0.691301384,Bandung Barat_Cikalongwetan,-0.075705
Bandung Barat,Cililin,0.687386967,Bandung Barat_Cililin,-0.058094
Bandung Barat,Cipatat,0.65412452,Bandung Barat_Cipatat,-0.032995
Bandung Barat,Cipeundeuy,0.666874749,Bandung Barat_Cipeundeuy,-0.093011
Bandung Barat,Cipongkor,0.641488912,Bandung Barat_Cipongkor,-0.035340
Bandung Barat,Cisarua,0.676189182,Bandung Barat_Cisarua,-0.035967
Bandung Barat,Gununghalu,0.642693236,Bandung Barat_Gununghalu,-0.026549
Bandung Barat,Lembang,0.699797915,Bandung Barat_Lembang,-0.050501
Bandung Barat,Ngamprah,0.710957146,Bandung Barat_Ngamprah,-0.058113
Bandung Barat,Padalarang,0.707721787,Bandung Barat_Padalarang,-0.059638
Bandung Barat,Parongpong,0.677736952,Bandung Barat_Parongpong,-0.033622
Bandung Barat,Rongga,0.660832051,Bandung Barat_Rongga,-0.049838
Bandung Barat,Saguling,0.678804037,Bandung Barat_Saguling,-0.071675
Bandung Barat,Sindangkerta,0.670949552,Bandung Barat_Sindangkerta,-0.072701
Bangkalan,Arosbaya,0.64779136,Bangkalan_Arosbaya,0.032610
Bangkalan,Bangkalan,0.619829086,Bangkalan_Bangkalan,0.091108
Bangkalan,Blega,0.645175809,Bangkalan_Blega,0.012919
Bangkalan,Burneh,0.674466299,Bangkalan_Burneh,0.014051
Bangkalan,Galis,0.58992697,Bangkalan_Galis,0.049179
Bangkalan,Geger,0.575084887,Bangkalan_Geger,0.047579
Bangkalan,Kamal,0.679624274,Bangkalan_Kamal,-0.015392
Bangkalan,Klampis,0.58016745,Bangkalan_Klampis,0.094252
Bangkalan,Kokop,0.54520127,Bangkalan_Kokop,0.076226
Bangkalan,Konang,0.585919872,Bangkalan_Konang,0.038371
Bangkalan,Kwanyar,0.710827041,Bangkalan_Kwanyar,-0.055744
Bangkalan,Labang,0.676517333,Bangkalan_Labang,-0.026742
Bangkalan,Modung,0.667956878,Bangkalan_Modung,-0.056452
Bangkalan,Sepulu,0.55727524,Bangkalan_Sepulu,0.094002
Bangkalan,Socah,0.63929194,Bangkalan_Socah,0.071519
Bangkalan,Tanah Merah,0.641006772,Bangkalan_Tanah Merah,0.027121
Bangkalan,Tanjung Bumi,0.561198336,Bangkalan_Tanjung Bumi,0.129687
Bangkalan,Tragah,0.732641892,Bangkalan_Tragah,-0.068287
Banjarnegara,Banjarmangu,0.623691716,Banjarnegara_Banjarmangu,0.040357
Banjarnegara,Banjarnegara,0.596316011,Banjarnegara_Banjarnegara,0.083166
Banjarnegara,Batur,0.642321497,Banjarnegara_Batur,0.039228
Banjarnegara,Bawang,0.58685409,Banjarnegara_Bawang,0.021361
Banjarnegara,Kalibening,0.670411169,Banjarnegara_Kalibening,-0.023913
Banjarnegara,Karangkobar,0.634271618,Banjarnegara_Karangkobar,0.029992
Banjarnegara,Madukara,0.616370726,Banjarnegara_Madukara,0.060733
Banjarnegara,Mandiraja,0.626942959,Banjarnegara_Mandiraja,-0.070668
Banjarnegara,Pagedongan,0.599152933,Banjarnegara_Pagedongan,-0.002195
Banjarnegara,Pagentan,0.632093472,Banjarnegara_Pagentan,0.065975
Banjarnegara,Pandanarum,0.683141272,Banjarnegara_Pandanarum,-0.050018
Banjarnegara,Pejawaran,0.640320451,Banjarnegara_Pejawaran,0.017361
Banjarnegara,Punggelan,0.616953765,Banjarnegara_Punggelan,-0.040587
Banjarnegara,Purwanegara,0.590497418,Banjarnegara_Purwanegara,-0.000284
Banjarnegara,Purworeja Klampok,0.62122167,Banjarnegara_Purworeja Klampok,-0.041344
Banjarnegara,Rakit,0.570775083,Banjarnegara_Rakit,-0.001645
Banjarnegara,Sigaluh,0.595321614,Banjarnegara_Sigaluh,0.051354
Banjarnegara,Susukan,0.689234591,Banjarnegara_Susukan,-0.102156
Banjarnegara,Wanadadi,0.599442104,Banjarnegara_Wanadadi,0.021976
Banjarnegara,Wanayasa,0.653887952,Banjarnegara_Wanayasa,-0.013116
Bantul,Bambanglipuro,0.648886349,Bantul_Bambanglipuro,0.055312
Bantul,Banguntapan,0.60173803,Bantul_Banguntapan,0.115269
Bantul,Bantul,0.646150421,Bantul_Bantul,0.087999
Bantul,Dlingo,0.598393763,Bantul_Dlingo,-0.020612
Bantul,Imogiri,0.608490979,Bantul_Imogiri,0.037233
Bantul,Jetis,0.643845172,Bantul_Jetis,0.083392
Bantul,Kasihan,0.612645222,Bantul_Kasihan,0.135074
Bantul,Kretek,0.641775204,Bantul_Kretek,0.059256
Bantul,Pajangan,0.594028903,Bantul_Pajangan,0.093818
Bantul,Pandak,0.662324012,Bantul_Pandak,0.058132
Bantul,Piyungan,0.583096706,Bantul_Piyungan,0.069326
Bantul,Pleret,0.554213159,Bantul_Pleret,0.113007
Bantul,Pundong,0.634208976,Bantul_Pundong,0.047421
Bantul,Sanden,0.642794228,Bantul_Sanden,0.093348
Bantul,Sedayu,0.609528173,Bantul_Sedayu,0.083583
Bantul,Sewon,0.622802666,Bantul_Sewon,0.129182
Bantul,Srandakan,0.673652053,Bantul_Srandakan,0.054350
Banyumas,Ajibarang,0.630497411,Banyumas_Ajibarang,-0.042038
Banyumas,Banyumas,0.720992911,Banyumas_Banyumas,-0.123685
Banyumas,Baturraden,0.684289089,Banyumas_Baturraden,-0.115596
Banyumas,Cilongok,0.679832298,Banyumas_Cilongok,-0.053764
Banyumas,Gumelar,0.590206216,Banyumas_Gumelar,-0.014358
Banyumas,Jatilawang,0.66079874,Banyumas_Jatilawang,-0.024882
Banyumas,Kalibagor,0.704571282,Banyumas_Kalibagor,-0.096721
Banyumas,Karanglewas,0.672889388,Banyumas_Karanglewas,-0.093162
Banyumas,Kebasen,0.712497265,Banyumas_Kebasen,-0.083950
Banyumas,Kedungbanteng,0.624599735,Banyumas_Kedungbanteng,-0.024192
Banyumas,Kembaran,0.621635766,Banyumas_Kembaran,-0.000840
Banyumas,Kemranjen,0.688749718,Banyumas_Kemranjen,-0.036260
Banyumas,Lumbir,0.580566058,Banyumas_Lumbir,-0.043067
Banyumas,Patikraja,0.677054206,Banyumas_Patikraja,-0.099723
Banyumas,Pekuncen,0.615496677,Banyumas_Pekuncen,-0.002505
Banyumas,Purwojati,0.660727607,Banyumas_Purwojati,-0.098860
Banyumas,Purwokerto Barat,0.608898829,Banyumas_Purwokerto Barat,0.000504
Banyumas,Purwokerto Selatan,0.627852524,Banyumas_Purwokerto Selatan,0.006184
Banyumas,Purwokerto Timur,0.593898824,Banyumas_Purwokerto Timur,0.047697
Banyumas,Purwokerto Utara,0.614995044,Banyumas_Purwokerto Utara,0.031920
Banyumas,Rawalo,0.681678457,Banyumas_Rawalo,-0.082261
Banyumas,Sokaraja,0.654949617,Banyumas_Sokaraja,0.002645
Banyumas,Somagede,0.684085404,Banyumas_Somagede,-0.087860
Banyumas,Sumbang,0.678481302,Banyumas_Sumbang,-0.071372
Banyumas,Sumpiuh,0.675973868,Banyumas_Sumpiuh,-0.031860
Banyumas,Tambak,0.657198064,Banyumas_Tambak,-0.009437
Banyumas,Wangon,0.590552272,Banyumas_Wangon,-0.010787
Banyuwangi,Bangorejo,0.401674057,Banyuwangi_Bangorejo,0.104488
Banyuwangi,Banyuwangi,0.444942475,Banyuwangi_Banyuwangi,0.127663
Banyuwangi,Blimbingsari,0.461653674,Banyuwangi_Blimbingsari,0.041463
Banyuwangi,Cluring,0.459833171,Banyuwangi_Cluring,0.040472
Banyuwangi,Gambiran,0.43915075,Banyuwangi_Gambiran,0.039184
Banyuwangi,Genteng,0.45851865,Banyuwangi_Genteng,0.019654
Banyuwangi,Giri,0.444302383,Banyuwangi_Giri,0.033591
Banyuwangi,Glagah,0.428905534,Banyuwangi_Glagah,0.036025
Banyuwangi,Glenmore,0.425599662,Banyuwangi_Glenmore,0.013571
Banyuwangi,Kabat,0.446240745,Banyuwangi_Kabat,0.018780
Banyuwangi,Kalibaru,0.471304589,Banyuwangi_Kalibaru,0.005362
Banyuwangi,Kalipuro,0.399525572,Banyuwangi_Kalipuro,0.019565
Banyuwangi,Licin,0.436642687,Banyuwangi_Licin,0.014991
Banyuwangi,Muncar,0.463452238,Banyuwangi_Muncar,0.073027
Banyuwangi,Pesanggaran,0.477294442,Banyuwangi_Pesanggaran,-0.020682
Banyuwangi,Purwoharjo,0.459486523,Banyuwangi_Purwoharjo,0.084988
