WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
BANTEN,SERANG,TUNJUNG TEJA,1,1/1/2019,1,2019,10.75033202,42.9954301,2.73182136,1,3.671908202,23.15950012,77.81500053,0.099999994,0.543870052,0.241784845,-0.147483616,101.0745007,122.1194995,26.19703664,78.70166503,0.207777774,10.06134113,103.8317319,3.488307231,2.925795536,3.185185185,0.467723463,0.286093996,-0.142996764,652.9715391,32.83021943,1045.653527,0.445660338,0.497309592
JAWA TIMUR,BANYUWANGI,SILIRAGUNG,0,1/1/2019,1,2019,8.37030372,161.2287338,7.609562406,6,2.61414803,9.386999846,5.694999933,3.939999819,0.781438494,0.183652047,-0.142997265,19.0219996,40.37699858,9.984928557,12.75642836,3.254999885,9.039928506,121.2320058,3.633763724,2.631498268,5.714285714,0.729538364,0.107852988,-0.123771445,34.11664161,25.66639694,2.509471202,0.195409733,0.290332749
JAWA BARAT,KOTA BOGOR,BOGOR SELATAN,1,1/2/2019,1,2019,8.400463065,367.0642034,4.226762052,1,3.649893692,16.77000046,16.16249943,9.660000086,0.439812973,0.126348399,-0.067555969,42.59249997,45.48749989,11.31624998,11.84476754,12.51357125,8.066115494,476.7008713,7.562833036,3.047113331,2.5,0.460762237,0.225207071,-0.123665113,149.8791582,7.149124189,62.03056437,-0.015793542,0.313946842
JAWA BARAT,CIREBON,PANGURAGAN,1,1/2/2019,1,2019,10.40472986,3.657476353,0.582669163,6,2.574002574,27.15000057,3.70599997,17.0649991,0.210436967,0.287974926,-0.104379618,47.92099965,68.88099909,21.93712083,4.883257378,21.98924217,9.926427107,28.10691254,1.674041584,2.926049494,4.545454545,0.360630088,0.24271317,-0.043845249,346.3753706,24.79026099,103.3308814,0.35892568,-0.044107804
JAWA BARAT,CIREBON,JAMBLANG,1,1/3/2019,1,2019,9.836734523,9.380623763,0.822737157,4,2.770618557,1.344999969,27.15000057,3.70599997,0.310742582,0.293300726,-0.097447728,32.20100051,51.60599965,5.425394659,21.77092072,5.256289253,9.610601606,96.42070416,2.720736783,2.879844872,4.526315789,0.39325873,0.231288944,-0.056000226,36.96479679,272.1321021,103.1113084,0.312473517,-0.028891213
JAWA BARAT,SUKABUMI,CICURUG,0,1/3/2019,1,2019,7.588431161,711.0812226,10.11791561,4,2.572472216,0.280000001,17.13999939,12.03299904,0.523200755,0.18476807,-0.171977963,29.45299843,43.13299869,0.175833332,13.12624994,12.12099969,7.673704899,660.5112821,9.798942673,3.009380614,3.666666667,0.516738239,0.189538511,-0.168018749,2.494297483,158.6062205,21.17788299,0.537330269,0.546089884
JAWA TENGAH,BOYOLALI,KEMUSU,0,1/3/2019,1,2019,10.29394605,114.2560641,4.339867592,6,2.437894737,2.284999967,11.11499977,4.248999953,0.743246529,0.152987575,-0.023887796,17.64899969,37.35399874,1.775555506,5.637777597,4.325361123,8.896532131,147.6011394,3.871729059,2.406268697,5.111111111,0.742567617,0.07183415,-0.030339963,173.7890635,196.1864097,42.37138176,-0.776472594,-0.556300364
JAWA BARAT,SUKABUMI,KALAPANUNGGAL,0,1/4/2019,1,2019,7.360417545,702.0643859,9.770504229,4,2.711417265,0,0.169999994,11.71499991,0.602000448,0.208232211,-0.197541143,11.88499991,33.10649934,0.010588235,0.198529409,13.52470565,7.398838507,650.1307985,11.45276194,2.821423234,4.117647059,0.563065754,0.170162338,-0.205373275,0.676714249,115.1025514,38.81710208,0.684801371,0.688252701
JAWA TIMUR,JEMBER,PUGER,0,1/4/2019,1,2019,9.069810363,69.39768702,6.596491897,6,2.158720298,3.284999728,10.78500009,13.20499992,0.688049663,-0.081559291,-0.204454326,27.27499974,84.19849741,3.991249904,20.73874927,11.59750003,9.728016327,29.03416699,2.466480354,2.58821742,6,0.721524536,-0.065053146,-0.150022439,15.96570397,203.2381279,6.365877284,0.649660016,0.537559811
JAWA TIMUR,PROBOLINGGO,TEGALSIWALAN,0,1/4/2019,1,2019,9.120151766,100.3766873,2.214729889,6,4.188314283,2.819999993,33.97499943,23.82499981,0.717128072,0.001806186,-0.164377862,60.61999923,106.5814979,3.175749922,32.9522491,28.45724909,9.191338526,122.0175978,2.92637471,3.384146998,5.3,0.578808497,0.086584406,-0.143102462,5.756566011,39.43364008,0.857659406,0.441389815,0.355944894
JAWA TENGAH,PURBALINGGA,KARANGJAMBU,0,1/4/2019,1,2019,6.948651811,778.6904818,16.88799002,6,1.390616995,0,32.625,16.9749999,0.542394763,0.220867171,-0.23952371,49.5999999,68.24699859,0.784999971,27.118823,16.68676468,7.980814676,457.0479755,9.625374175,2.808132475,4.352941176,0.617455856,0.140894508,-0.201231432,31.59281863,188.5868011,20.4875823,0.749950612,0.56196178
JAWA BARAT,MAJALENGKA,DAWUAN,0,1/5/2019,1,2019,10.01390169,31.22415336,0.845118881,1,4.506165725,8.269999981,2.284999967,3.26000011,0.664519076,0.052529316,-0.012790236,13.81500006,72.11800079,7.82166642,0.718055545,7.954166601,9.030954949,111.3263405,3.548217446,3.143588191,4.333333333,0.674448703,0.11979664,-0.061937099,375.5642279,1590.705508,74.31911579,-0.716568305,-0.306892429
JAWA TIMUR,JOMBANG,PLOSO,0,1/5/2019,1,2019,11.4261382,31.64009944,0.698629478,4,5.121591746,0,0.914999932,3.799999952,0.619166972,0.190250249,-0.101545282,4.714999884,28.08499926,0.494565204,1.473260837,4.898043347,9.690907385,54.99870049,1.713271704,3.018006898,5.260869565,0.655464309,0.183856193,-0.082957294,273.4046484,2056.081962,797.9982823,-0.022288971,-0.158230037
DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,KOKAP,0,1/5/2019,1,2019,7.284976305,209.3362021,13.22760504,4,1.686710151,0.935000002,7.210000277,9.839999914,0.753727269,-0.120229205,-0.253727113,17.98500019,72.44799989,0.565263149,5.643421016,7.218684055,9.543330327,123.8146536,5.629381123,2.731169431,5.052631579,0.671153023,-0.196720561,-0.15944746,2.981969497,222.1033834,43.59035664,0.758466149,0.415034184
JAWA BARAT,KUNINGAN,KALIMANGGIS,0,1/5/2019,1,2019,8.536839096,156.0568187,3.79194565,4,2.021121631,0,0,20.02499914,0.707394503,-0.071046261,-0.098544513,20.02499914,67.20199943,0.586944429,0.24402777,16.53513859,8.505440696,219.9870915,5.613895282,2.823105916,4.777777778,0.605361899,0.029010929,-0.114739205,0,0,0,-0.241040548,-0.007023226
JAWA TENGAH,GROBOGAN,GEYER,0,1/5/2019,1,2019,8.143539056,90.58288351,4.456931717,6,2.437093387,0,0.645000011,1.824999869,0.722412065,0.054745502,-0.026333671,2.46999988,21.44649938,0,1.03833329,2.02458325,9.54589876,87.93143466,2.811580313,2.693087511,4.916666667,0.717366381,0.056950633,-0.027594143,36.11300905,1154.77719,1201.073395,-0.762212332,-0.638059318
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,JETIS,0,1/6/2019,1,2019,9.500893129,36.97441648,1.561299243,4,5.594405594,0.569999993,0.035,1.889999986,0.660902694,-0.298228846,-0.13100734,2.494999979,38.12999885,2.46880944,0.58333333,4.54249989,9.005121493,102.3058484,2.904423592,3.291250972,4.404761905,0.564067664,-0.272859638,-0.033179932,188.2454112,128.8979259,123.4104308,0.384238265,0.097916243
JAWA BARAT,KUNINGAN,KALIMANGGIS,0,1/6/2019,1,2019,8.536839096,156.0568187,3.79194565,4,2.021121631,0,0,0,0.707394503,-0.071046261,-0.098544513,0,67.20199943,0.508750021,0.586944429,0.24402777,8.505440696,219.9870915,5.613895282,2.823105916,4.777777778,0.605361899,0.029010929,-0.114739205,0,0,0,-0.241040548,-0.007023226
JAWA BARAT,CIANJUR,SUKANAGARA,0,1/6/2019,1,2019,7.244704863,987.4127415,10.5115915,4,2.136491014,0,0.404999971,0,0.69490745,-0.015285146,-0.189074749,0.404999971,19.77099942,0.241818179,1.676363609,0.013181818,7.428027742,739.9881933,10.88141071,2.408593059,4.181818182,0.686234614,-0.019223908,-0.19096208,26.38579793,33.8384653,16.16676609,0.59124877,0.508076355
JAWA BARAT,KUNINGAN,SELAJAMBE,1,1/6/2019,1,2019,8.153968831,459.7380485,15.43386534,6,2.474657126,3.3149997,1.719999969,0,0.761487444,-0.071937756,-0.195860869,5.034999669,45.45799917,5.630925718,3.569999906,0.563888874,7.802981575,514.9879613,10.02075585,2.587116706,5.185185185,0.657999016,0.010911899,-0.199003754,121.2061336,224.3347957,28.91621319,0.60319574,0.524759721
JAWA TIMUR,BANYUWANGI,WONGSOREJO,1,1/6/2019,1,2019,8.216767407,432.1443558,7.401858332,6,3.210665242,25.98999882,0.324999981,4.924999952,0.635198389,0.42471723,-0.144337802,31.23999875,67.66499826,26.30833292,1.560000002,2.921666622,8.061359504,383.9989468,8.771799183,2.88979398,6,0.637180807,0.315497891,-0.162345246,41.62811433,11.26158192,12.96363454,0.095635195,0.180126188
DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,GIRISUBO,0,1/6/2019,1,2019,7.572539145,171.3831229,8.244735923,6,2.580342482,0,0.019999999,3.644999743,0.802991329,-0.206529763,0.060216631,3.664999742,13.69199951,0.198333329,0.046666666,2.960833222,8.581553224,261.647302,6.330670185,2.317055063,6,0.77110062,-0.092922731,0.051886889,0.412479561,27.54083602,24.94880892,-0.925990002,-0.91720147
JAWA TENGAH,PATI,PATI,1,1/10/2019,1,2019,10.19456597,9.862193178,0.871521568,1,4.357726131,0.420000002,3.014999986,14.9000001,0.582459096,0.082421683,-0.036315878,18.33500008,23.84499983,0.866388865,3.108055509,9.293055137,10.6550098,99.75953779,3.772727207,3.126554848,5.5,0.609987289,0.190775176,-0.042505891,11.60568107,68.86353788,228.6629539,-0.494762812,-0.313323965
