WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
BANTEN,SERANG,TUNJUNG TEJA,1,1/1/2019,1,2019,10.75033202,42.9954301,2.73182136,1,3.671908202,23.15950012,77.81500053,0.099999994,0.543870052,0.241784845,-0.147483616,101.0745007,122.1194995,26.19703664,78.70166503,0.207777774,10.06134113,103.8317319,3.488307231,2.925795536,3.185185185,0.467723463,0.286093996,-0.142996764,652.9715391,32.83021943,1045.653527,0.446338458,0.497332989
JAWA TENGAH,KEBUMEN,ROWOKELE,0,1/1/2019,1,2019,8.197509875,182.6137459,9.412133247,4,2.629053924,3.95600009,2.149999917,1.6049999,0.765497664,0.103980824,-0.251548403,7.710999906,17.48099952,5.165649837,1.435249941,1.917249971,10.55396183,95.04101898,5.80566711,3.001653724,4.5,0.698792545,0.116056752,-0.198605195,520.3427815,13.50443241,1757.126544,0.76963748,0.607888316
JAWA BARAT,CIREBON,PANGURAGAN,1,1/2/2019,1,2019,10.40472986,3.657476353,0.582669163,6,2.574002574,27.15000057,3.70599997,17.0649991,0.210436967,0.287974926,-0.104379618,47.92099965,68.88099909,21.93712083,4.883257378,21.98924217,9.926427107,28.10691254,1.674041584,2.926049494,4.545454545,0.360630088,0.24271317,-0.043845249,346.3753706,24.79026099,103.3308814,0.35892568,-0.045260975
JAWA BARAT,KOTA BOGOR,BOGOR SELATAN,1,1/2/2019,1,2019,8.400463065,367.0642034,4.226762052,1,3.649893692,16.77000046,16.16249943,9.660000086,0.439812973,0.126348399,-0.067555969,42.59249997,45.48749989,11.31624998,11.84476754,12.51357125,8.066115494,476.7008713,7.562833036,3.047113331,2.5,0.460762237,0.225207071,-0.123665113,149.8791582,7.149124189,62.03056437,-0.016652989,0.314087013
JAWA BARAT,CIREBON,JAMBLANG,1,1/3/2019,1,2019,9.836734523,9.380623763,0.822737157,4,2.770618557,1.344999969,27.15000057,3.70599997,0.310742582,0.293300726,-0.097447728,32.20100051,51.60599965,5.425394659,21.77092072,5.256289253,9.610601606,96.42070416,2.720736783,2.879844872,4.526315789,0.39325873,0.231288944,-0.056000226,36.96479679,272.1321021,103.1113084,0.313991344,-0.029892749
JAWA BARAT,GARUT,BAYONGBONG,0,1/3/2019,1,2019,7.921879871,1154.675984,9.745967152,4,3.725352662,2.75000006,12.9399991,0.693999991,0.58817808,0.271582966,-0.142877803,16.38399915,22.46899889,2.219736794,13.64736817,1.912605234,7.448184754,1161.200444,11.5622989,2.316083866,4,0.648863334,0.181523008,-0.174621591,27.15397774,36.86688902,34.03775139,0.344300751,0.4301119
JAWA TIMUR,PONOROGO,SUKOREJO,0,1/4/2019,1,2019,9.602561856,106.0853774,1.331819342,6,3.583399354,1.210000008,1.61499989,1.719999969,0.630454915,-0.063381922,-0.139210733,4.544999868,23.7024993,1.322499982,1.655909038,3.172045343,8.895889306,200.5540955,4.206186847,3.634154748,5.863636364,0.715773454,-0.076942501,-0.092780169,340.894224,965.3998993,42.85784529,0.335226741,-0.090768872
JAWA BARAT,KUNINGAN,SELAJAMBE,1,1/6/2019,1,2019,8.153968831,459.7380485,15.43386534,6,2.474657126,3.3149997,1.719999969,0,0.761487444,-0.071937756,-0.195860869,5.034999669,45.45799917,5.630925718,3.569999906,0.563888874,7.802981575,514.9879613,10.02075585,2.587116706,5.185185185,0.657999016,0.010911899,-0.199003754,121.2061336,224.3347957,28.91621319,0.603325073,0.524710695
JAWA TIMUR,BANYUWANGI,WONGSOREJO,1,1/6/2019,1,2019,8.216767407,432.1443558,7.401858332,6,3.210665242,25.98999882,0.324999981,4.924999952,0.635198389,0.42471723,-0.144337802,31.23999875,67.66499826,26.30833292,1.560000002,2.921666622,8.061359504,383.9989468,8.771799183,2.88979398,6,0.637180807,0.315497891,-0.162345246,41.62811433,11.26158192,12.96363454,0.095607925,0.18028364
JAWA BARAT,KARAWANG,KARAWANG BARAT,0,1/6/2019,1,2019,10.00329169,14.22718834,0.853860422,1,2.829313544,0,1.964999914,0,0.391665332,0.270225439,-0.09951741,1.964999914,42.84949918,0.064782607,0.713695635,0.503913049,9.708435231,19.708751,1.29146664,2.914811568,1.956521739,0.381309148,0.334418452,-0.102154284,45.35188044,183.2527431,92.52533708,0.29431003,0.253878085
