Feature,Year_Comparison,PSI,KS_pvalue
Month,2019-2020,0.1099188802053869,0.00015835691575858302
twi,2019-2020,0.00926130261186392,0.5829210785458527
elevation_mean,2019-2020,0.02481507719255143,0.19014883890717146
slope_mean,2019-2020,0.020275871036804092,0.47939501487014996
soil_type,2019-2020,0.00013747435044105557,1.0
drainage_pct,2019-2020,0.01611429119485736,0.1828460700462948
precip_t0,2019-2020,0.12441182342735503,9.259996975837438e-09
precip_t1,2019-2020,0.10343252280405192,1.1224088853393625e-07
precip_t2,2019-2020,0.09187467708281821,1.974085549633024e-08
precip_3d,2019-2020,0.22049241464549343,8.979144372639869e-11
precip_7d,2019-2020,0.31381441097771,1.3320052779390794e-11
ndvi,2019-2020,0.01534272441383098,0.18889170213356224
mndwi,2019-2020,0.2827328824292899,4.3429813449876356e-26
ndbi,2019-2020,0.22762620461134686,1.113805920492306e-15
nb_precip_t0,2019-2020,0.1304179575624283,7.558011089770911e-07
nb_precip_t1,2019-2020,0.15640032691893185,4.5917925416891013e-07
nb_precip_t2,2019-2020,0.1651021189530624,1.2043934728694114e-08
nb_twi,2019-2020,0.016137162980430157,0.17999553050695324
nb_elevation,2019-2020,0.016211103453262342,0.6144766571695961
nb_slope,2019-2020,0.020350010653348113,0.5126795477044194
nb_drainage,2019-2020,0.03346837346509058,0.8640185581717649
nb_soil,2019-2020,0.013546104345633313,0.6677921507181256
nb_ndvi,2019-2020,0.020070061810685585,0.10411609205468159
nb_mndwi,2019-2020,0.29971011089718075,9.141379581967086e-27
nb_ndbi,2019-2020,0.36425809577078455,5.1127745761738836e-20
1daylag,2019-2020,0.07685588718223882,2.78136782752548e-06
3daylag,2019-2020,0.08808674914972642,8.310642075041248e-07
7daylag,2019-2020,0.07950388644592656,1.4694782623482648e-06
ibi,2019-2020,0.39280008685946666,9.908365473057893e-23
nb_ibi,2019-2020,0.6056430568367311,1.6738830240287683e-32
Month,2020-2021,0.0404212638568258,0.009772738371236283
twi,2020-2021,0.0295415174165671,0.2351489573666051
elevation_mean,2020-2021,0.016303184594364167,0.04877589079577572
slope_mean,2020-2021,0.010474023666419993,0.9149299409707986
soil_type,2020-2021,0.013807978932564805,0.32430589799559806
drainage_pct,2020-2021,0.01873318809880919,0.5525787983304742
precip_t0,2020-2021,0.02984585815158024,0.016437737376141792
precip_t1,2020-2021,0.05253006340269432,0.005515347023657871
precip_t2,2020-2021,0.02452492666785135,0.08226402659546024
precip_3d,2020-2021,0.10317053839402403,5.0137264935476075e-05
precip_7d,2020-2021,0.09551104499401716,0.00010071331314124104
ndvi,2020-2021,0.05608088156785718,0.0007503798327456245
mndwi,2020-2021,0.05033995086923378,0.0006192123741910791
ndbi,2020-2021,0.014748867172881569,0.03270190312195669
nb_precip_t0,2020-2021,0.04843522589880046,0.0053493249831915645
nb_precip_t1,2020-2021,0.0857749601762606,0.00022935805399660754
nb_precip_t2,2020-2021,0.028885443849605397,0.13494228572281106
nb_twi,2020-2021,0.015416911374084692,0.16406039507966613
nb_elevation,2020-2021,0.014596806229714963,0.12470014532150696
nb_slope,2020-2021,0.010310662905507475,0.7479889798184497
nb_drainage,2020-2021,0.012920283073671593,0.13089751239444536
nb_soil,2020-2021,0.028307877460016163,0.002374738843347058
nb_ndvi,2020-2021,0.06016099843416367,0.00014069956190854946
nb_mndwi,2020-2021,0.0672243290161863,0.0001597966565724911
nb_ndbi,2020-2021,0.019975369581683264,0.027477390569362502
1daylag,2020-2021,0.026177463367831492,0.36467443750494627
3daylag,2020-2021,0.009991038765032616,0.9343737867691997
7daylag,2020-2021,0.012112660872922678,0.8188726354901531
ibi,2020-2021,0.051605119113752554,0.04332543947841487
nb_ibi,2020-2021,0.059460706010612256,0.06381764970244462
Month,2021-2022,0.09018192478668315,0.008638766345917712
twi,2021-2022,0.022278968915711312,0.9816657832148858
elevation_mean,2021-2022,0.008988738019882685,0.7612945464753633
slope_mean,2021-2022,0.03545383322488014,0.08905766573879469
soil_type,2021-2022,0.009893469131942103,0.4854131210083423
drainage_pct,2021-2022,0.008294872109032733,0.9537501415188991
precip_t0,2021-2022,0.026504307175961413,0.1974627729520803
precip_t1,2021-2022,0.024819295302505623,0.3973330823237521
precip_t2,2021-2022,0.033864357096786694,0.041814803534293545
precip_3d,2021-2022,0.055176268362772424,0.2768044472915229
precip_7d,2021-2022,0.08810442853805805,0.0010608685443308492
ndvi,2021-2022,0.021041206683830485,0.10696086874671529
mndwi,2021-2022,0.055557840318288164,0.00043277526774088604
ndbi,2021-2022,0.136870397094091,3.0876711986042564e-11
nb_precip_t0,2021-2022,0.03714055227877271,0.16587279129505741
nb_precip_t1,2021-2022,0.03144803022697453,0.18798384799495074
nb_precip_t2,2021-2022,0.04735490358532955,0.006528389280883878
nb_twi,2021-2022,0.033058249554952485,0.01832922496548627
nb_elevation,2021-2022,0.01303327053523932,0.6725413743633215
nb_slope,2021-2022,0.011392148964475974,0.12705152561099425
nb_drainage,2021-2022,0.010132115318795626,0.28553819400128827
nb_soil,2021-2022,0.023896118706127262,0.037851611588907666
nb_ndvi,2021-2022,0.04473652125984025,0.0006517919011416459
nb_mndwi,2021-2022,0.06070921763291922,0.0009421046681135789
nb_ndbi,2021-2022,0.2239653602243381,1.1017041075351922e-21
1daylag,2021-2022,0.044998039431112975,0.1019135519536465
