Category,Model,Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Tree-based Ensemble Models,RF Classifier,No LULC,0.794,0.5823,0.7874,0.6695,0.5247,0.8795
,RF Classifier,Static LULC,0.8,0.5874,0.8094,0.6807,0.5404,0.8759
,RF Classifier,Dynamic LULC,0.8072,0.599,0.8239,0.6937,0.5581,0.8802
,ARF,No LULC,0.7945,0.6422,0.4983,0.5612,0.4298,0.849
,ARF,Static LULC,0.7813,0.622,0.4348,0.5118,0.3766,0.8539
,ARF,Dynamic LULC,0.807,0.6847,0.505,0.5813,0.4596,0.8604
Margin-based Models,SVM,No LULC,0.7991,0.5932,0.7559,0.6647,0.5243,0.8717
,SVM,Static LULC,0.8106,0.6135,0.7592,0.6786,0.5465,0.8783
,SVM,Dynamic LULC,0.8046,0.601,0.7807,0.6792,0.5421,0.8782
,PA Classifier,No LULC,0.7991,0.6437,0.5318,0.5824,0.4517,0.8319
,PA Classifier,Static LULC,0.7982,0.6268,0.5786,0.6017,0.4669,0.8128
,PA Classifier,Dynamic LULC,0.8151,0.6679,0.6013,0.6329,0.5098,0.8374
Probabilistic Models,Logistic Regression,No LULC,0.8009,0.6058,0.699,0.6491,0.5111,0.8749
,Logistic Regression,Static LULC,0.8018,0.6076,0.699,0.6501,0.5127,0.8751
,Logistic Regression,Dynamic LULC,0.8046,0.6158,0.6977,0.6542,0.5187,0.8753
,Online Logistic Regression,No LULC,0.7815,0.5847,0.5886,0.5867,0.4382,0.8422
,Online Logistic Regression,Static LULC,0.8044,0.6279,0.6321,0.63,0.4971,0.8355
,Online Logistic Regression,Dynamic LULC,0.8134,0.6431,0.6645,0.6536,0.5259,0.8473
